manufacturer,model_year,body_type,transmission_type,fuel_type,total_kms,total_owners,price,insurance_type,mileage(kmpl),engine(CC),torque(nm),seats,number_of_cylinders,valves_per_cylinder,super_charger,turbo_charger,drive_type,steering_type,cargo_volume,location
Hyundai,2013,Hatchback,Manual,Petrol,36359,1,440000.0,Comprehensive,18.5,1197.0,113.7,5.0,4,4,No,No,FWD,Power,513.0,Bangalore
Tata,2019,SUV,Manual,Diesel,70000,2,1460000.0,Third Party insurance,17.0,1956.0,350.0,5.0,4,4,No,Yes,FWD,Power,425.0,Bangalore
MG,2022,SUV,Automatic,Petrol,7500,1,2041000.0,Comprehensive,17.0,1451.0,250.0,5.0,4,4,No,Yes,FWD,Power,587.0,Bangalore
Hyundai,2017,Sedan,Automatic,Petrol,30301,1,1033000.0,Comprehensive,17.0,1591.0,151.0,5.0,4,4,No,No,FWD,Power,480.0,Bangalore
Hyundai,2010,Hatchback,Manual,Petrol,66000,1,275000.0,Comprehensive,20.36,1197.0,111.8,5.0,4,4,No,No,FWD,Power,480.0,Bangalore
Hyundai,2017,Hatchback,Manual,Petrol,56010,1,676000.0,Comprehensive,18.6,1197.0,114.7,5.0,4,4,No,No,FWD,Power,295.0,Bangalore
Mercedes-Benz,2017,SUV,Automatic,Diesel,47000,1,4290000.0,Comprehensive,17.9,2143.0,400.0,5.0,4,4,No,Yes,All Wheel Drive,Power,550.0,Bangalore
Nissan,2014,SUV,Manual,Diesel,60000,2,650000.0,Third Party insurance,19.01,1461.0,248.0,5.0,4,4,No,Yes,FWD,Power,475.0,Bangalore
Maruti,2014,Hatchback,Manual,Diesel,83829,1,444000.0,Third Party insurance,25.2,1248.0,190.0,5.0,4,4,No,Yes,FWD,Power,204.0,Bangalore
Renault,2020,Hatchback,Automatic,Petrol,10000,1,510000.0,Third Party insurance,22.0,999.0,91.0,5.0,3,4,No,No,FWD,Electronic,279.0,Bangalore
Renault,2016,SUV,Automatic,Diesel,35000,2,925000.0,Comprehensive,19.6,1461.0,245.0,5.0,4,4,No,Yes,FWD,Power,475.0,Bangalore
Honda,2019,Sedan,Automatic,Petrol,51116,2,1024000.0,Comprehensive,18.0,1497.0,145.0,5.0,4,4,No,No,FWD,Power,510.0,Bangalore
